time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,-0.0007002775979341395,0.005644720504573484,9.990460194964447,5.573202653894324,0.15366691832629087,0.0,-0.04131091359849014,0.09491914668307244,-0.6160582795461703,5.721679628532499,-1.0222072376371363,0.0,293.72093388711033,107.82524888029705,386.27511772848175,756.3021884325835
0.12000000000000001,-0.011281666334226123,0.007438504474026258,9.9432921315062,0.03966479424734004,0.9982835466858884,0.0,-0.41335424250364683,-0.0384953253469168,-1.1646401161531412,11.98344677190183,-3.4148864025607883,0.0,429.7656645713596,82.11196965521944,360.14780372317347,806.071777901347
0.18,-0.05767784567472181,0.008737494395651817,9.865427661578142,2.160096554219761,1.3578614871431203,0.0,-1.1532028965110803,0.13243827817450884,-1.526923662270173,14.805210604275764,-5.316829578722302,0.0,407.8604698069424,107.05653381810004,425.20246486794923,742.631823257643
0.23999999999999996,-0.1495290017813757,0.01885658318495521,9.752624944136942,4.372514782043272,1.306904450444355,0.0,-1.906675594691568,0.15353128552240805,-2.2452401301186136,17.538303191712984,-6.6473594495615895,0.0,372.86961286440805,97.49335284889423,369.58353585122217,761.285790124261
0.3,-0.28886289899381284,0.023148890820701117,9.599541145922876,6.227521708617584,1.4851105159720488,0.0,-2.7428900875640183,0.024899269149692472,-2.825413255986614,19.64551789719093,-8.568829592228347,0.0,447.2439556502756,87.51668240659893,366.96791675885413,784.4826430256898
0.36000000000000004,-0.4811857901897799,0.023218003460859022,9.412014673102165,1.5261663113478363,1.906535249679692,0.0,-3.656263567495805,-0.06957551208914717,-3.4663659717364634,21.11617718864455,-10.996065511792686,0.0,520.1983145984699,82.70233836145529,374.83684593502494,803.1596029639292
0.4200000000000001,-0.7208707325552639,0.014593913880989403,9.186805743019987,2.8023042537127196,1.2464983139984636,0.0,-4.337086664825248,-0.15435284827956924,-4.050687464809718,20.809222289680715,-11.010498809768695,0.0,362.1657864010171,110.76179884616948,368.4713311430632,736.7156697768006
0.48000000000000015,-0.9999406044397134,0.005635048400360161,8.917894406810538,4.052138084322507,0.6138777064902694,0.0,-4.926134148644568,-0.20813305476360955,-4.95700750740625,20.851936072151723,-11.487619166287931,0.0,410.10709345963386,108.03456462374191,370.8132593400025,750.1941492065356
0.5400000000000001,-1.3072243534127623,-0.024645723676733556,8.594538264616865,5.3287320153155715,0.0027701549426053518,0.0,-5.266305538422155,-0.8761632626580363,-5.707736570659274,21.176661002248217,-12.236494415464977,0.0,447.4795945112104,105.18145042431824,376.11287524783523,770.3604343885162
0.6000000000000002,-1.6216856145970582,-0.09405431029456457,8.251811223945015,0.3529757196643555,5.671594433959495,0.0,-5.144893264599005,-1.2855062464303968,-5.668083059009846,21.57815970376781,-13.147041120985842,0.0,482.7676375519534,113.5949732033059,379.63729454741565,785.1680510389876
0.6600000000000003,-1.9180709865004293,-0.16380727924014124,7.904836018281274,1.9139813694796093,5.0153891906329555,0.0,-4.67883554175293,-0.9995208788884291,-5.980212197239305,20.263699436786005,-14.100988618323477,0.0,510.5692848732736,117.43025583181505,348.04542508777723,677.0268266053458
0.7200000000000003,-2.1806780200115563,-0.21988569431115645,7.528174743724999,3.1872739158188743,4.262592972505992,0.0,-4.076179317726636,-0.9182909815639807,-6.551471510475973,19.613943164505418,-13.418930301374209,0.0,404.1297372242431,161.26794208770747,330.919534021546,672.718831670579
0.7800000000000004,-2.4104354088095694,-0.27183176555004673,7.12590812855522,4.36451435780484,3.4600958560337673,0.0,-3.630474616420991,-0.7283944283252941,-6.8394283189040985,19.465919594072076,-13.624089119042766,0.0,462.03288626205006,145.49092455835665,326.7056556522901,684.52689354688
0.8400000000000004,-2.6240532146156625,-0.2945504195973049,6.6987860827398835,5.5451064113211,2.6815456990215054,0.0,-3.5719472625525666,-0.035770737454309615,-7.520674421067273,19.680130732310385,-14.173250128879857,0.0,496.8238150028577,143.92434968601307,322.9066151259195,701.3643756826228
0.9000000000000005,-2.8492597763728664,-0.28884942679251885,6.216170494946505,0.4761237906091633,1.8662820702620877,0.0,-3.983104144412809,0.13332488659556982,-8.543085364385144,20.061135290032727,-14.698748568856569,0.0,507.6972684016661,136.05075531678884,327.9881982395511,719.6252569622294
0.9600000000000005,-3.1029208163563706,-0.2836250998221847,5.6838910987028335,1.9861721380047914,1.2869699268343977,0.0,-4.491431431988529,0.07267750316148153,-9.139700533638425,18.653769015894877,-13.422502407752566,0.0,366.3083467789922,172.39329540429796,338.4987375155397,619.3928455196183
1.0200000000000005,-3.3862327867339177,-0.2743758370598441,5.116421345957143,3.1940211324859913,0.614127459159219,0.0,-4.8972279928105396,0.21641427312243977,-9.8281533840287,17.863445581052332,-12.597335842680481,0.0,394.30417183808544,218.70119148260397,334.1046826584839,618.2213792194188
1.0800000000000005,-3.684928792953798,-0.2637155552784815,4.500024904437356,4.269863006373068,6.160245824534579,0.0,-5.034224293287392,0.07783587088213238,-10.74761630659791,17.63038005748779,-12.3213277823887,0.0,427.0334377142577,224.42912888366178,338.58267836874427,636.6121321285337
1.1400000000000006,-3.9840593539069986,-0.2727441524740294,3.831277311180895,5.837952205829293,5.42031753335859,0.0,-4.894002686856698,-0.3508017864894192,-11.443138819333903,15.829303936775721,-12.402797977321814,0.0,450.15234921418545,219.42571906579684,352.8461406261614,523.3139605824961
